index,original_title,overview,release_date,title,cast,director,genres,imdb_title_id,keywords
436,Grown Ups 2,"The all-star comedy cast from Grown Ups returns (with some exciting new additions) for more summertime laughs. Lenny (Adam Sandler) has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises: the last day of school.",2013-07-11,Grown Ups 2,Adam Sandler Kevin James Chris Rock David Spade Salma Hayek,Dennis Dugan,Comedy,tt2191701,
437,Get Smart,"When the identities of secret agents from Control are compromised, the Chief promotes hapless but eager analyst Maxwell Smart and teams him with stylish, capable Agent 99, the only spy whose cover remains intact. Can they work together to thwart the evil plans of KAOS and its crafty operative?",2008-06-19,Get Smart,Steve Carell Anne Hathaway Dwayne Johnson Alan Arkin Terence Stamp,Peter Segal,Action Comedy Thriller,tt0425061,dancing spy terrorist traitor airplane
438,Something's Gotta Give,"Harry Sanborn is an aged music industry exec with a fondness for younger women like Marin, his latest trophy girlfriend. Things get a little awkward when Harry suffers a heart attack at the home of Marin's mother, Erica. Left in the care of Erica and his doctor, a love triangle starts to take shape.",2003-12-12,Something's Gotta Give,Jack Nicholson Diane Keaton Keanu Reeves Frances McDormand Amanda Peet,Nancy Meyers,Drama Comedy Romance,tt0337741,age difference ladykiller woman director
439,Shutter Island,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",2010-02-18,Shutter Island,Leonardo DiCaprio Mark Ruffalo Ben Kingsley Emily Mortimer Michelle Williams,Martin Scorsese,Drama Thriller Mystery,tt1130884,based on novel island hurricane investigation psychiatric hospital
440,Four Christmases,"Brad and Kate have made something of an art form out of avoiding their families during the holidays, but this year their foolproof plan is about go bust -- big time. Stuck at the city airport after all departing flights are canceled, the couple is embarrassed to see their ruse exposed to the world by an overzealous television reporter. Now, Brad and Kate are left with precious little choice other than to swallow their pride and suffer the rounds.",2008-11-26,Four Christmases,Vince Vaughn Reese Witherspoon Robert Duvall Sissy Spacek Jon Voight,Seth Gordon,Comedy Romance Drama,tt0369436,holiday romantic comedy dysfunctional family christmas
441,Robots,"Rodney Copperbottom is a young robot inventor who dreams of making the world a better place, until the evil Ratchet takes over Big Weld Industries. Now, Rodney's dreams – and those of his friends – are in danger of becoming obsolete.",2005-03-10,Robots,Robin Williams Ewan McGregor Halle Berry Mel Brooks Paula Abdul,Chris Wedge,Animation Comedy Family Science Fiction,tt0358082,inventor business man robot dishonesty
442,Face/Off,"An antiterrorism agent goes under the knife to acquire the likeness of a terrorist and gather details about a bombing plot. When the terrorist escapes custody, he undergoes surgery to look like the agent so he can get close to the agent's family.",1997-06-27,Face/Off,John Travolta Nicolas Cage Joan Allen Alessandro Nivola Gina Gershon,John Woo,Action Crime Science Fiction Thriller,tt0119094,undercover mexican standoff biological weapon face transplant rage and hate
443,Bedtime Stories,Skeeter Bronson is a down-on-his-luck guy who's always telling bedtime stories to his niece and nephew. But his life is turned upside down when the fantastical stories he makes up for entertainment inexplicably turn into reality. Can a bewildered Skeeter manage his own unruly fantasies now that the outrageous characters and situations from his mind have morphed into actual people and events?,2008-12-24,Bedtime Stories,Adam Sandler Keri Russell Guy Pearce Courteney Cox Lucy Lawless,Adam Shankman,Fantasy Comedy Family Romance,tt0960731,wishes come true escapade disorder imaginary miraculous event
444,Road to Perdition,"Mike Sullivan works as a hit man for crime boss John Rooney. Sullivan views Rooney as a father figure, however after his son is witness to a killing, Mike Sullivan finds himself on the run in attempt to save the life of his son and at the same time looking for revenge on those who wronged him.",2002-07-12,Road to Perdition,Tom Hanks Tyler Hoechlin Jennifer Jason Leigh Liam Aiken Paul Newman,Sam Mendes,Thriller Crime Drama,tt0257044,based on graphic novel homework shot in the chin soft boiled egg learning to drive
445,Just Go with It,"A plastic surgeon, romancing a much younger schoolteacher, enlists his loyal assistant to pretend to be his soon to be ex-wife, in order to cover up a careless lie. When more lies backfire, the assistant's kids become involved, and everyone heads off for a weekend in Hawaii that will change all their lives.",2011-02-10,Just Go with It,Adam Sandler Jennifer Aniston Nicole Kidman Nick Swardson Brooklyn Decker,Dennis Dugan,Romance Comedy,tt1564367,beach fictitious marriage blackmail plastic surgery marriage
446,Con Air,"When the government puts all its rotten criminal eggs in one airborne basket, it's asking for trouble. Before you can say, ""Pass the barf bag,"" the crooks control the plane, led by creepy Cyrus ""The Virus"" Grissom. Watching his every move is the just-released Cameron Poe, who'd rather reunite with his family.",1997-06-01,Con Air,Nicolas Cage John Cusack John Malkovich Ving Rhames Nick Chinlund,Simon West,Action Thriller Crime,tt0118880,prison ambush helicopter airport gas station
447,Eagle Eye,"Jerry Shaw and Rachel Holloman are two strangers whose lives are suddenly thrown into turmoil by a mysterious woman they have never met. Threatening their lives and family, the unseen caller uses everyday technology to control their actions and push them into increasing danger. As events escalate, Jerry and Rachel become the country's most-wanted fugitives and must figure out what is happening to them.",2008-09-25,Eagle Eye,Shia LaBeouf Michelle Monaghan Rosario Dawson Michael Chiklis Anthony Mackie,D.J. Caruso,Mystery Thriller Action,tt1059786,artificial intelligence washington d.c. secret identity hostage technology
448,Cold Mountain,"In this classic story of love and devotion set against the backdrop of the American Civil War, a wounded Confederate soldier named W.P. Inman deserts his unit and travels across the South, aiming to return to his young wife, Ada, who he left behind to tend their farm. As Inman makes his perilous journey home, Ada struggles to keep their home intact with the assistance of Ruby, a mysterious drifter sent to help her by a kindly neighbor.",2003-12-24,Cold Mountain,Jude Law Nicole Kidman Ren\u00e9e Zellweger Eileen Atkins Brendan Gleeson,Anthony Minghella,Drama,tt0159365,loss of lover loss of family deserter loss of father love of one's life
449,The Book of Eli,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",2010-01-14,The Book of Eli,Denzel Washington Gary Oldman Mila Kunis Ray Stevenson Jennifer Beals,Albert Hughes,Action Thriller Science Fiction,tt1037705,book post-apocalyptic dystopia faith blind
450,Flubber,"Professor Phillip Brainard, an absent minded professor, works with his assistant Weebo, trying to create a substance that's a new source of energy and that will save Medfield College where his sweetheart Sara is the president. He has missed his wedding twice, and on the afternoon of his third wedding, Professor Brainard creates flubber, which allows objects to fly through the air.",1997-11-26,Flubber,Robin Williams Marcia Gay Harden Christopher McDonald Raymond J. Barry Clancy Brown,Les Mayfield,Comedy Family Science Fiction,tt0119137,wedding vows inventor slime green flight
451,The Haunting,"Dr. David Marrow invites Nell Vance, and Theo and Luke Sanderson to the eerie and isolated Hill House to be subjects for a sleep disorder study. The unfortunate guests discover that Marrow is far more interested in the sinister mansion itself – and they soon see the true nature of its horror.",1999-07-23,The Haunting,Liam Neeson Catherine Zeta-Jones Owen Wilson Lili Taylor Bruce Dern,Jan de Bont,Horror Thriller Fantasy Mystery,tt0057129,based on novel trauma castle haunted house insomnia
452,Space Jam,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",1996-11-15,Space Jam,Michael Jordan Wayne Knight Billy West Dee Bradley Baker Theresa Randle,Joe Pytka,Animation Comedy Drama Family Fantasy,tt0117705,sport basketball doctor basketball team basketball game
453,The Pink Panther,"When the coach of the France soccer team is killed by a poisoned dart in the stadium in the end of a game, and his expensive and huge ring with the diamond Pink Panther disappears, the ambitious Chief Inspector Dreyfus assigns the worst police inspector Jacques Clouseau to the case.",2006-01-18,The Pink Panther,Steve Martin Kevin Kline Jean Reno Beyonc\u00e9 Knowles Emily Mortimer,Shawn Levy,Action Comedy Crime Mystery Family,tt0057413,robbery investigation inspector killer clouseau
454,The Day the Earth Stood Still,"A representative of an alien race that went through drastic evolution to survive its own climate change, Klaatu comes to Earth to assess whether humanity can prevent the environmental damage they have inflicted on their own planet. When barred from speaking to the United Nations, he decides humankind shall be exterminated so the planet can survive.",2008-12-10,The Day the Earth Stood Still,Keanu Reeves Jennifer Connelly Kathy Bates Jaden Smith John Cleese,Scott Derrickson,Drama Science Fiction Thriller,tt0043456,extraterrestrial technology spacecraft ultimatum evacuation panic
455,Conspiracy Theory,"A man obsessed with conspiracy theories becomes a target after one of his theories turns out to be true. Unfortunately, in order to save himself, he has to figure out which theory it is.",1997-08-07,Conspiracy Theory,Mel Gibson Julia Roberts Patrick Stewart Cylk Cozart Steve Kahan,Richard Donner,Action Drama Mystery Thriller,tt0118883,new york cia helicopter assassin secret
456,Fury,"Last months of World War II in April 1945. As the Allies make their final push in the European Theater, a battle-hardened U.S. Army sergeant in the 2nd Armored Division named Wardaddy commands a Sherman tank called ""Fury"" and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",2014-10-15,Fury,Brad Pitt Shia LaBeouf Logan Lerman Michael Pe\u00f1a Jon Bernthal,David Ayer,War Drama Action,tt0027652,world war ii nazis war nazi germany panzer
